
FirstComeFirstServe
pid   BurstTime    WaitingTime  TurnAround   
4     583          1148         1198         13           
5     777          1176         1226         10           
6     256          1204         1254         7            
7     372          1232         1282         16           
8     565          1260         1310         18           
9     645          1288         1338         2            
10    652          1316         1366         5            
11    892          1344         1394         15           
12    919          1372         1422         7            
13    905          1400         1450         5            
14    714          1428         1478         10           
15    539          1456         1506         11           
16    53           1484         1534         5            
17    314          1512         1562         19           
18    296          1540         1590         6            
19    221          1568         1618         9            
1     510          1596         1646         5            
2     897          1624         1674         17           
3     917          1652         1702         5            
4     558          1680         1730         13           
5     752          1708         1758         10           
6     231          1736         1786         7            
7     347          1764         1814         16           
8     540          1792         1842         18           
9     620          1820         1870         2            
10    627          1848         1898         5            
11    867          1876         1926         15           
12    894          1904         1954         7            
13    880          1932         1982         5            
14    689          1960         2010         10           
15    514          1988         2038         11           
16    28           2016         2066         5            
17    289          2044         2094         19           
18    271          2072         2122         6            
19    196          2100         2150         9            
1     485          2128         2178         5            
2     872          2156         2206         17           
3     892          2184         2234         5            
4     533          2212         2262         13           
5     727          2240         2290         10           
6     206          2268         2318         7            
7     322          2296         2346         16           
8     515          2324         2374         18           
9     595          2352         2402         2            
10    602          2380         2430         5            
11    842          2408         2458         15           
12    869          2436         2486         7            
13    855          2464         2514         5            
14    664          2492         2542         10           
15    489          2520         2570         11           
16    3            2548         2598         5            
process:16 COMPLETED
18    246          2576         2604         6            
19    171          2604         2632         9            
1     460          2632         2660         5            
2     847          2660         2688         17           
3     867          2688         2716         5            
4     508          2716         2744         13           
5     702          2744         2772         10           
6     181          2772         2800         7            
7     297          2800         2828         16           
8     490          2828         2856         18           
9     570          2856         2884         2            
10    577          2884         2912         5            
11    817          2912         2940         15           
12    844          2940         2968         7            
13    830          2968         2996         5            
14    639          2996         3024         10           
15    464          3024         3052         11           
17    264          3052         3080         19           
18    221          3080         3108         6            
19    146          3108         3136         9            
1     435          3136         3164         5            
2     822          3164         3192         17           
3     842          3192         3220         5            
4     483          3220         3248         13           
5     677          3248         3276         10           
6     156          3276         3304         7            
7     272          3304         3332         16           
8     465          3332         3360         18           
9     545          3360         3388         2            
10    552          3388         3416         5            
11    792          3416         3444         15           
12    819          3444         3472         7            
13    805          3472         3500         5            
14    614          3500         3528         10           
15    439          3528         3556         11           
17    239          3556         3584         19           
18    196          3584         3612         6            
19    121          3612         3640         9            
1     410          3640         3668         5            
2     797          3668         3696         17           
3     817          3696         3724         5            
4     458          3724         3752         13           
5     652          3752         3780         10           
6     131          3780         3808         7            
7     247          3808         3836         16           
8     440          3836         3864         18           
9     520          3864         3892         2            
10    527          3892         3920         5            
11    767          3920         3948         15           
12    794          3948         3976         7            
13    780          3976         4004         5            
14    589          4004         4032         10           
15    414          4032         4060         11           
17    214          4060         4088         19           
18    171          4088         4116         6            
19    96           4116         4144         9            
1     385          4144         4172         5            
2     772          4172         4200         17           
3     792          4200         4228         5            
4     433          4228         4256         13           
5     627          4256         4284         10           
6     106          4284         4312         7            
7     222          4312         4340         16           
8     415          4340         4368         18           
9     495          4368         4396         2            
10    502          4396         4424         5            
11    742          4424         4452         15           
12    769          4452         4480         7            
13    755          4480         4508         5            
14    564          4508         4536         10           
15    389          4536         4564         11           
17    189          4564         4592         19           
18    146          4592         4620         6            
19    71           4620         4648         9            
1     360          4648         4676         5            
2     747          4676         4704         17           
3     767          4704         4732         5            
4     408          4732         4760         13           
5     602          4760         4788         10           
6     81           4788         4816         7            
7     197          4816         4844         16           
8     390          4844         4872         18           
9     470          4872         4900         2            
10    477          4900         4928         5            
11    717          4928         4956         15           
12    744          4956         4984         7            
13    730          4984         5012         5            
14    539          5012         5040         10           
15    364          5040         5068         11           
17    164          5068         5096         19           
18    121          5096         5124         6            
19    46           5124         5152         9            
1     335          5152         5180         5            
2     722          5180         5208         17           
3     742          5208         5236         5            
4     383          5236         5264         13           
5     577          5264         5292         10           
6     56           5292         5320         7            
7     172          5320         5348         16           
8     365          5348         5376         18           
9     445          5376         5404         2            
10    452          5404         5432         5            
11    692          5432         5460         15           
12    719          5460         5488         7            
13    705          5488         5516         5            
14    514          5516         5544         10           
15    339          5544         5572         11           
17    139          5572         5600         19           
18    96           5600         5628         6            
19    21           5628         5656         9            
process:19 COMPLETED
2     697          5656         5680         17           
3     717          5684         5708         5            
4     358          5712         5736         13           
5     552          5740         5764         10           
6     31           5768         5792         7            
7     147          5796         5820         16           
8     340          5824         5848         18           
9     420          5852         5876         2            
10    427          5880         5904         5            
11    667          5908         5932         15           
12    694          5936         5960         7            
13    680          5964         5988         5            
14    489          5992         6016         10           
15    314          6020         6044         11           
17    114          6048         6072         19           
18    71           6076         6100         6            
1     310          6104         6128         5            
2     672          6132         6156         17           
3     692          6160         6184         5            
4     333          6188         6212         13           
5     527          6216         6240         10           
6     6            6244         6268         7            
process:6 COMPLETED
8     315          6272         6277         18           
9     395          6300         6305         2            
10    402          6328         6333         5            
11    642          6356         6361         15           
12    669          6384         6389         7            
13    655          6412         6417         5            
14    464          6440         6445         10           
15    289          6468         6473         11           
17    89           6496         6501         19           
18    46           6524         6529         6            
1     285          6552         6557         5            
2     647          6580         6585         17           
3     667          6608         6613         5            
4     308          6636         6641         13           
5     502          6664         6669         10           
7     122          6692         6697         16           
8     290          6720         6725         18           
9     370          6748         6753         2            
10    377          6776         6781         5            
11    617          6804         6809         15           
12    644          6832         6837         7            
13    630          6860         6865         5            
14    439          6888         6893         10           
15    264          6916         6921         11           
17    64           6944         6949         19           
18    21           6972         6977         6            
process:18 COMPLETED
2     622          7000         7001         17           
3     642          7028         7029         5            
4     283          7056         7057         13           
5     477          7084         7085         10           
7     97           7112         7113         16           
8     265          7140         7141         18           
9     345          7168         7169         2            
10    352          7196         7197         5            
11    592          7224         7225         15           
12    619          7252         7253         7            
13    605          7280         7281         5            
14    414          7308         7309         10           
15    239          7336         7337         11           
17    39           7364         7365         19           
1     260          7392         7393         5            
2     597          7420         7421         17           
3     617          7448         7449         5            
4     258          7476         7477         13           
5     452          7504         7505         10           
7     72           7532         7533         16           
8     240          7560         7561         18           
9     320          7588         7589         2            
10    327          7616         7617         5            
11    567          7644         7645         15           
12    594          7672         7673         7            
13    580          7700         7701         5            
14    389          7728         7729         10           
15    214          7756         7757         11           
17    14           7784         7785         19           
process:17 COMPLETED
2     572          7812         7802         17           
3     592          7840         7830         5            
4     233          7868         7858         13           
5     427          7896         7886         10           
7     47           7924         7914         16           
8     215          7952         7942         18           
9     295          7980         7970         2            
10    302          8008         7998         5            
11    542          8036         8026         15           
12    569          8064         8054         7            
13    555          8092         8082         5            
14    364          8120         8110         10           
15    189          8148         8138         11           
1     235          8176         8166         5            
2     547          8204         8194         17           
3     567          8232         8222         5            
4     208          8260         8250         13           
5     402          8288         8278         10           
7     22           8316         8306         16           
process:7 COMPLETED
9     270          8344         8331         2            
10    277          8372         8359         5            
11    517          8400         8387         15           
12    544          8428         8415         7            
13    530          8456         8443         5            
14    339          8484         8471         10           
15    164          8512         8499         11           
1     210          8540         8527         5            
2     522          8568         8555         17           
3     542          8596         8583         5            
4     183          8624         8611         13           
5     377          8652         8639         10           
8     190          8680         8667         18           
9     245          8708         8695         2            
10    252          8736         8723         5            
11    492          8764         8751         15           
12    519          8792         8779         7            
13    505          8820         8807         5            
14    314          8848         8835         10           
15    139          8876         8863         11           
1     185          8904         8891         5            
2     497          8932         8919         17           
3     517          8960         8947         5            
4     158          8988         8975         13           
5     352          9016         9003         10           
8     165          9044         9031         18           
9     220          9072         9059         2            
10    227          9100         9087         5            
11    467          9128         9115         15           
12    494          9156         9143         7            
13    480          9184         9171         5            
14    289          9212         9199         10           
15    114          9240         9227         11           
1     160          9268         9255         5            
2     472          9296         9283         17           
3     492          9324         9311         5            
4     133          9352         9339         13           
5     327          9380         9367         10           
8     140          9408         9395         18           
9     195          9436         9423         2            
10    202          9464         9451         5            
11    442          9492         9479         15           
12    469          9520         9507         7            
13    455          9548         9535         5            
14    264          9576         9563         10           
15    89           9604         9591         11           
1     135          9632         9619         5            
2     447          9660         9647         17           
3     467          9688         9675         5            
4     108          9716         9703         13           
5     302          9744         9731         10           
8     115          9772         9759         18           
9     170          9800         9787         2            
10    177          9828         9815         5            
11    417          9856         9843         15           
12    444          9884         9871         7            
13    430          9912         9899         5            
14    239          9940         9927         10           
15    64           9968         9955         11           
1     110          9996         9983         5            
2     422          10024        10011        17           
3     442          10052        10039        5            
4     83           10080        10067        13           
5     277          10108        10095        10           
8     90           10136        10123        18           
9     145          10164        10151        2            
10    152          10192        10179        5            
11    392          10220        10207        15           
12    419          10248        10235        7            
13    405          10276        10263        5            
14    214          10304        10291        10           
15    39           10332        10319        11           
1     85           10360        10347        5            
2     397          10388        10375        17           
3     417          10416        10403        5            
4     58           10444        10431        13           
5     252          10472        10459        10           
8     65           10500        10487        18           
9     120          10528        10515        2            
10    127          10556        10543        5            
11    367          10584        10571        15           
12    394          10612        10599        7            
13    380          10640        10627        5            
14    189          10668        10655        10           
15    14           10696        10683        11           
process:15 COMPLETED
2     372          10724        10700        17           
3     392          10752        10728        5            
4     33           10780        10756        13           
5     227          10808        10784        10           
8     40           10836        10812        18           
9     95           10864        10840        2            
10    102          10892        10868        5            
11    342          10920        10896        15           
12    369          10948        10924        7            
13    355          10976        10952        5            
14    164          11004        10980        10           
1     60           11032        11008        5            
2     347          11060        11036        17           
3     367          11088        11064        5            
4     8            11116        11092        13           
process:4 COMPLETED
8     15           11144        11103        18           
process:8 COMPLETED
10    77           11172        11121        5            
11    317          11200        11149        15           
12    344          11228        11177        7            
13    330          11256        11205        5            
14    139          11284        11233        10           
1     35           11312        11261        5            
2     322          11340        11289        17           
3     342          11368        11317        5            
5     202          11396        11345        10           
9     70           11424        11373        2            
10    52           11452        11401        5            
11    292          11480        11429        15           
12    319          11508        11457        7            
13    305          11536        11485        5            
14    114          11564        11513        10           
1     10           11592        11541        5            
process:1 COMPLETED
3     317          11620        11554        5            
5     177          11648        11582        10           
9     45           11676        11610        2            
10    27           11704        11638        5            
11    267          11732        11666        15           
12    294          11760        11694        7            
13    280          11788        11722        5            
14    89           11816        11750        10           
2     297          11844        11778        17           
3     292          11872        11806        5            
5     152          11900        11834        10           
9     20           11928        11862        2            
process:9 COMPLETED
11    242          11956        11885        15           
12    269          11984        11913        7            
13    255          12012        11941        5            
14    64           12040        11969        10           
2     272          12068        11997        17           
3     267          12096        12025        5            
5     127          12124        12053        10           
10    2            12152        12081        5            
process:10 COMPLETED
12    244          12180        12086        7            
13    230          12208        12114        5            
14    39           12236        12142        10           
2     247          12264        12170        17           
3     242          12292        12198        5            
5     102          12320        12226        10           
11    217          12348        12254        15           
12    219          12376        12282        7            
13    205          12404        12310        5            
14    14           12432        12338        10           
process:14 COMPLETED
3     217          12460        12355        5            
5     77           12488        12383        10           
11    192          12516        12411        15           
12    194          12544        12439        7            
13    180          12572        12467        5            
2     222          12600        12495        17           
3     192          12628        12523        5            
5     52           12656        12551        10           
11    167          12684        12579        15           
12    169          12712        12607        7            
13    155          12740        12635        5            
2     197          12768        12663        17           
3     167          12796        12691        5            
5     27           12824        12719        10           
11    142          12852        12747        15           
12    144          12880        12775        7            
13    130          12908        12803        5            
2     172          12936        12831        17           
3     142          12964        12859        5            
5     2            12992        12887        10           
process:5 COMPLETED
12    119          13020        12892        7            
13    105          13048        12920        5            
2     147          13076        12948        17           
3     117          13104        12976        5            
11    117          13132        13004        15           
12    94           13160        13032        7            
13    80           13188        13060        5            
2     122          13216        13088        17           
3     92           13244        13116        5            
11    92           13272        13144        15           
12    69           13300        13172        7            
13    55           13328        13200        5            
2     97           13356        13228        17           
3     67           13384        13256        5            
11    67           13412        13284        15           
12    44           13440        13312        7            
13    30           13468        13340        5            
2     72           13496        13368        17           
3     42           13524        13396        5            
11    42           13552        13424        15           
12    19           13580        13452        7            
process:12 COMPLETED
2     47           13608        13474        17           
3     17           13636        13502        5            
process:3 COMPLETED
13    5            13664        13522        5            
process:13 COMPLETED
11    17           13692        13530        15           
process:11 COMPLETED
2     22           13720        13550        17           
process:2 COMPLETED

Average Turnaround Time: 10486.0

RoundRobin-TQ 50
pid   BurstTime    WaitingTime  TurnAround   Priority     
1     585          0            50           5            
2     972          53           103          17           
3     992          106          156          5            
4     633          159          209          13           
5     827          212          262          10           
6     306          265          315          7            
7     422          318          368          16           
8     615          371          421          18           
9     695          424          474          2            
10    702          477          527          5            
11    942          530          580          15           
12    969          583          633          7            
13    955          636          686          5            
14    764          689          739          10           
15    589          742          792          11           
16    103          795          845          5            
17    364          848          898          19           
18    346          901          951          6            
19    271          954          1004         9            
1     535          1007         1057         5            
2     922          1060         1110         17           
3     942          1113         1163         5            
4     583          1166         1216         13           
5     777          1219         1269         10           
6     256          1272         1322         7            
7     372          1325         1375         16           
8     565          1378         1428         18           
9     645          1431         1481         2            
10    652          1484         1534         5            
11    892          1537         1587         15           
12    919          1590         1640         7            
13    905          1643         1693         5            
14    714          1696         1746         10           
15    539          1749         1799         11           
16    53           1802         1852         5            
17    314          1855         1905         19           
18    296          1908         1958         6            
19    221          1961         2011         9            
1     485          2014         2064         5            
2     872          2067         2117         17           
3     892          2120         2170         5            
4     533          2173         2223         13           
5     727          2226         2276         10           
6     206          2279         2329         7            
7     322          2332         2382         16           
8     515          2385         2435         18           
9     595          2438         2488         2            
10    602          2491         2541         5            
11    842          2544         2594         15           
12    869          2597         2647         7            
13    855          2650         2700         5            
14    664          2703         2753         10           
15    489          2756         2806         11           
16    3            2809         2859         5            
process:16 COMPLETED
18    246          2862         2865         6            
19    171          2915         2918         9            
1     435          2968         2971         5            
2     822          3021         3024         17           
3     842          3074         3077         5            
4     483          3127         3130         13           
5     677          3180         3183         10           
6     156          3233         3236         7            
7     272          3286         3289         16           
8     465          3339         3342         18           
9     545          3392         3395         2            
10    552          3445         3448         5            
11    792          3498         3501         15           
12    819          3551         3554         7            
13    805          3604         3607         5            
14    614          3657         3660         10           
15    439          3710         3713         11           
17    264          3763         3766         19           
18    196          3816         3819         6            
19    121          3869         3872         9            
1     385          3922         3925         5            
2     772          3975         3978         17           
3     792          4028         4031         5            
4     433          4081         4084         13           
5     627          4134         4137         10           
6     106          4187         4190         7            
7     222          4240         4243         16           
8     415          4293         4296         18           
9     495          4346         4349         2            
10    502          4399         4402         5            
11    742          4452         4455         15           
12    769          4505         4508         7            
13    755          4558         4561         5            
14    564          4611         4614         10           
15    389          4664         4667         11           
17    214          4717         4720         19           
18    146          4770         4773         6            
19    71           4823         4826         9            
1     335          4876         4879         5            
2     722          4929         4932         17           
3     742          4982         4985         5            
4     383          5035         5038         13           
5     577          5088         5091         10           
6     56           5141         5144         7            
7     172          5194         5197         16           
8     365          5247         5250         18           
9     445          5300         5303         2            
10    452          5353         5356         5            
11    692          5406         5409         15           
12    719          5459         5462         7            
13    705          5512         5515         5            
14    514          5565         5568         10           
15    339          5618         5621         11           
17    164          5671         5674         19           
18    96           5724         5727         6            
19    21           5777         5780         9            
process:19 COMPLETED
2     672          5830         5804         17           
3     692          5883         5857         5            
4     333          5936         5910         13           
5     527          5989         5963         10           
6     6            6042         6016         7            
process:6 COMPLETED
8     315          6095         6025         18           
9     395          6148         6078         2            
10    402          6201         6131         5            
11    642          6254         6184         15           
12    669          6307         6237         7            
13    655          6360         6290         5            
14    464          6413         6343         10           
15    289          6466         6396         11           
17    114          6519         6449         19           
18    46           6572         6502         6            
process:18 COMPLETED
2     622          6625         6551         17           
3     642          6678         6604         5            
4     283          6731         6657         13           
5     477          6784         6710         10           
7     122          6837         6763         16           
8     265          6890         6816         18           
9     345          6943         6869         2            
10    352          6996         6922         5            
11    592          7049         6975         15           
12    619          7102         7028         7            
13    605          7155         7081         5            
14    414          7208         7134         10           
15    239          7261         7187         11           
17    64           7314         7240         19           
1     285          7367         7293         5            
2     572          7420         7346         17           
3     592          7473         7399         5            
4     233          7526         7452         13           
5     427          7579         7505         10           
7     72           7632         7558         16           
8     215          7685         7611         18           
9     295          7738         7664         2            
10    302          7791         7717         5            
11    542          7844         7770         15           
12    569          7897         7823         7            
13    555          7950         7876         5            
14    364          8003         7929         10           
15    189          8056         7982         11           
17    14           8109         8035         19           
process:17 COMPLETED
2     522          8162         8052         17           
3     542          8215         8105         5            
4     183          8268         8158         13           
5     377          8321         8211         10           
7     22           8374         8264         16           
process:7 COMPLETED
9     245          8427         8289         2            
10    252          8480         8342         5            
11    492          8533         8395         15           
12    519          8586         8448         7            
13    505          8639         8501         5            
14    314          8692         8554         10           
15    139          8745         8607         11           
1     235          8798         8660         5            
2     472          8851         8713         17           
3     492          8904         8766         5            
4     133          8957         8819         13           
5     327          9010         8872         10           
8     165          9063         8925         18           
9     195          9116         8978         2            
10    202          9169         9031         5            
11    442          9222         9084         15           
12    469          9275         9137         7            
13    455          9328         9190         5            
14    264          9381         9243         10           
15    89           9434         9296         11           
1     185          9487         9349         5            
2     422          9540         9402         17           
3     442          9593         9455         5            
4     83           9646         9508         13           
5     277          9699         9561         10           
8     115          9752         9614         18           
9     145          9805         9667         2            
10    152          9858         9720         5            
11    392          9911         9773         15           
12    419          9964         9826         7            
13    405          10017        9879         5            
14    214          10070        9932         10           
15    39           10123        9985         11           
process:15 COMPLETED
2     372          10176        10027        17           
3     392          10229        10080        5            
4     33           10282        10133        13           
process:4 COMPLETED
8     65           10335        10169        18           
9     95           10388        10222        2            
10    102          10441        10275        5            
11    342          10494        10328        15           
12    369          10547        10381        7            
13    355          10600        10434        5            
14    164          10653        10487        10           
1     135          10706        10540        5            
2     322          10759        10593        17           
3     342          10812        10646        5            
5     227          10865        10699        10           
8     15           10918        10752        18           
process:8 COMPLETED
10    52           10971        10770        5            
11    292          11024        10823        15           
12    319          11077        10876        7            
13    305          11130        10929        5            
14    114          11183        10982        10           
1     85           11236        11035        5            
2     272          11289        11088        17           
3     292          11342        11141        5            
5     177          11395        11194        10           
9     45           11448        11247        2            
process:9 COMPLETED
11    242          11501        11295        15           
12    269          11554        11348        7            
13    255          11607        11401        5            
14    64           11660        11454        10           
1     35           11713        11507        5            
process:1 COMPLETED
3     242          11766        11545        5            
5     127          11819        11598        10           
10    2            11872        11651        5            
process:10 COMPLETED
12    219          11925        11656        7            
13    205          11978        11709        5            
14    14           12031        11762        10           
process:14 COMPLETED
3     192          12084        11779        5            
5     77           12137        11832        10           
11    192          12190        11885        15           
12    169          12243        11938        7            
13    155          12296        11991        5            
2     222          12349        12044        17           
3     142          12402        12097        5            
5     27           12455        12150        10           
process:5 COMPLETED
12    119          12508        12180        7            
13    105          12561        12233        5            
2     172          12614        12286        17           
3     92           12667        12339        5            
11    142          12720        12392        15           
12    69           12773        12445        7            
13    55           12826        12498        5            
2     122          12879        12551        17           
3     42           12932        12604        5            
process:3 COMPLETED
12    19           12985        12649        7            
process:12 COMPLETED
2     72           13038        12671        17           
11    92           13091        12724        15           
13    5            13144        12777        5            
process:13 COMPLETED
11    42           13197        12785        15           
process:11 COMPLETED
2     22           13250        12830        17           
process:2 COMPLETED

Average Turnaround Time: 10062.0

Lottery
pid   BurstTime    WaitingTime  TurnAround   Priority     
3     992          0            992          5            
17    364          995          1359         19           
4     633          1362         1995         13           
18    346          1998         2344         6            
8     615          2347         2962         18           
13    955          2965         3920         5            
16    103          3923         4026         5            
5     827          4029         4856         10           
10    702          4859         5561         5            
19    271          5564         5835         9            
6     306          5838         6144         7            
7     422          6147         6569         16           
9     695          6572         7267         2            
2     972          7270         8242         17           
11    942          8245         9187         15           
12    969          9190         10159        7            
15    589          10162        10751        11           
14    764          10754        11518        10           
1     585          11521        12106        5            

Average Turnaround Time: 637.0
